"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"991",-1.0985682,-1.1532028,0.78334975,1.6548064,-0.15272595,1.4373373,-0.59730077,-0.48234707,0.18927935,-0.70136577
"21718",-0.35259196,-0.17716649,-1.6901628,2.0653179,-0.017441437,0.89098203,0.39365983,-0.33108932,0.14180407,-0.27252722
"15514",-0.43354115,-0.2100259,-1.4106895,-0.13688695,-0.57119787,-0.062408388,-0.55881023,-0.60091466,0.23764798,0.5559828
"21612",-0.556146,-0.32204598,-1.0733458,-1.2398852,-1.2871192,0.03656298,0.65270996,-0.23057073,-0.4880057,0.3972056
"28992",-0.2116557,0.3383221,-0.9980416,0.4319622,0.3086898,0.92201746,0.08068794,-1.0088356,0.21947649,0.636215
"30066",-1.8258798,1.332509,0.38003495,-0.7715141,-2.8305898,-1.0341338,-0.5668268,-0.45851356,-3.5811048,1.536429
"7043",-0.7273781,0.82449126,1.9154841,0.60354173,0.32288802,1.3580722,0.96072865,2.7717655,-0.58386344,-0.8357523
"17344",-0.84436643,-0.73349094,1.3243395,-0.3842092,0.49433565,0.74095666,-1.6516263,-1.4337335,1.024655,-1.2364925
"13324",0.17112547,-0.39486498,0.19223714,-0.1349117,0.17418602,-1.1508582,0.54415226,-0.6362706,1.0130663,0.802579
"1733",-0.92299736,-0.10340175,-1.385339,-0.016831681,-0.5095494,0.14274168,0.021514356,1.17616,0.35891053,-0.1820963
"3677",-1.0987556,-0.50310564,0.9935285,-0.46760893,-0.6292511,0.4690416,-1.36058,-0.2251913,0.19698355,-1.1714425
"13396",1.5371525,0.10875559,-0.9057627,1.4830694,-0.13949025,-0.5276667,0.9717492,-0.18636721,-0.7470008,-1.2775471
"10541",-0.1605267,0.5371548,-0.9325975,0.66123134,-1.3186793,0.20008755,0.997973,0.31789863,0.7889106,-0.45629668
